iter	Passed	Remaining
0	32	32160
1	63	31723
2	94	31542
3	108	26973
4	138	27585
5	174	28836
6	202	28764
7	243	30220
8	263	29011
9	284	28125
10	305	27458
11	333	27494
12	357	27154
13	385	27123
14	443	29113
15	462	28429
16	500	28939
17	532	29032
18	577	29801
19	644	31577
20	668	31174
21	701	31189
22	714	30338
23	724	29474
24	731	28545
25	753	28226
26	776	27984
27	791	27472
28	829	27781
29	841	27195
30	868	27160
31	891	26977
32	900	26375
33	923	26232
34	944	26027
35	958	25675
36	977	25441
37	988	25026
38	1013	24985
39	1029	24696
40	1043	24417
41	1060	24186
42	1073	23890
43	1085	23593
44	1103	23413
45	1114	23103
46	1121	22738
47	1132	22458
48	1148	22285
49	1163	22104
50	1173	21838
51	1222	22284
52	1252	22382
53	1319	23107
54	1355	23291
55	1394	23511
56	1420	23505
57	1448	23533
58	1473	23499
59	1487	23307
60	1499	23085
61	1522	23041
62	1554	23112
63	1582	23150
64	1615	23235
65	1627	23031
66	1642	22869
67	1687	23124
68	1799	24284
69	1812	24075
70	1861	24357
71	1882	24263
72	1894	24059
73	1911	23913
74	1926	23760
75	1936	23545
76	1959	23486
77	1979	23393
78	1987	23167
79	2000	23003
80	2021	22936
81	2047	22925
82	2057	22736
83	2075	22627
84	2168	23344
85	2179	23160
86	2190	22982
87	2210	22903
88	2278	23317
89	2394	24210
90	2464	24618
91	2484	24519
92	2492	24310
93	2498	24079
94	2503	23848
95	2508	23624
96	2513	23401
97	2518	23182
98	2523	22967
99	2529	22764
100	2534	22557
101	2539	22360
102	2546	22179
103	2552	21991
104	2559	21818
105	2565	21637
106	2571	21463
107	2577	21290
108	2583	21116
109	2588	20942
110	2594	20779
111	2600	20616
112	2606	20463
113	2612	20304
114	2620	20166
115	2625	20007
116	2632	19867
117	2638	19724
118	2644	19579
119	2650	19435
120	2656	19296
121	2662	19159
122	2669	19032
123	2675	18903
124	2687	18809
125	2693	18683
126	2701	18568
127	2709	18455
128	2716	18342
129	2722	18222
130	2730	18110
131	2735	17989
132	2740	17867
133	2746	17747
134	2752	17633
135	2758	17525
136	2764	17413
137	2769	17300
138	2775	17190
139	2780	17079
140	2784	16966
141	2790	16861
142	2796	16760
143	2802	16661
144	2809	16563
145	2815	16467
146	2821	16369
147	2827	16275
148	2833	16180
149	2838	16083
150	2844	15993
151	2849	15899
152	2854	15802
153	2860	15714
154	2866	15625
155	2871	15534
156	2877	15448
157	2893	15421
158	2900	15340
159	2906	15260
160	2912	15176
161	2919	15102
162	2925	15022
163	2932	14950
164	2938	14872
165	2943	14789
166	2952	14728
167	2959	14655
168	2965	14580
169	2971	14508
170	2976	14429
171	2982	14359
172	2987	14283
173	2993	14212
174	3001	14148
175	3007	14078
176	3013	14011
177	3020	13948
178	3025	13874
179	3030	13805
180	3038	13748
181	3044	13683
182	3050	13619
183	3055	13551
184	3061	13488
185	3067	13423
186	3071	13354
187	3078	13294
188	3083	13232
189	3088	13167
190	3097	13117
191	3101	13053
192	3109	13003
193	3127	12994
194	3147	12993
195	3177	13035
196	3201	13050
197	3228	13077
198	3246	13067
199	3272	13089
200	3293	13093
201	3328	13147
202	3351	13160
203	3405	13288
204	3424	13281
205	3447	13289
206	3490	13370
207	3511	13371
208	3530	13362
209	3546	13339
210	3563	13324
211	3585	13327
212	3608	13332
213	3616	13282
214	3631	13258
215	3650	13250
216	3660	13207
217	3675	13184
218	3692	13168
219	3711	13157
220	3721	13117
221	3737	13098
222	3756	13088
223	3766	13048
224	3779	13018
225	3796	13001
226	3813	12987
227	3834	12984
228	3854	12976
229	3874	12970
230	3887	12942
231	3901	12915
232	3930	12939
233	3948	12926
